record_id,process_type,material,pulse_width_ps,frequency_kHz,laser_power_W,scan_speed_mm_s,passes,focus_offset_um,fill_pattern,hatch_spacing_um,layer_step_um,path_overlap_um,material_thickness_um,cut_length_mm,power_W,depth_um,Sa_um,Sq_um,Sz_um,removal_rate_um3_s,cut_through,kerf_top_width_um,kerf_bottom_width_um,kerf_taper_deg,cut_edge_Sa_um,HAZ_width_um,chipping_um,objective_mode,source_file,valid_flag,note,target_depth_um,log_pulse_width,log_frequency,log_hatch_spacing,log_passes,log_scan_speed,D_proxy,pulse_density_proxy,pulse_energy_uJ,areal_energy_proxy,line_energy_proxy,pulse_spacing_um,layer_count_proxy,pulse_energy_proxy,energy_density_proxy
AlSiC.csv:28,milling,AlSiC,0.5,5,,150.0,4,,none,4.0,,,,,,11.178,1.235,1.543,11.287,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,1.6094379124341003,1.3862943611198906,1.3862943611198906,5.0106352940962555,0.03333333333333333,0.03333333333333333,,,,30.0,,,
AlSiC.csv:29,milling,AlSiC,0.5,5,,150.0,2,,none,6.0,,,,,,4.417,1.404,1.697,10.479,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,1.6094379124341003,1.791759469228055,0.6931471805599453,5.0106352940962555,0.011111111111111112,0.011111111111111112,,,,30.0,,,
AlSiC.csv:30,milling,AlSiC,0.5,5,,175.0,2,,none,8.0,,,,,,3.112,1.879,2.343,11.72,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,1.6094379124341003,2.0794415416798357,0.6931471805599453,5.1647859739235145,0.007142857142857143,0.007142857142857143,,,,35.0,,,
AlSiC.csv:31,milling,AlSiC,0.5,10,,100.0,2,,none,4.0,,,,,,12.23,1.355,1.826,21.033,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.302585092994046,1.3862943611198906,0.6931471805599453,4.605170185988092,0.05,0.05,,,,10.0,,,
AlSiC.csv:32,milling,AlSiC,0.5,10,,200.0,5,,none,4.0,,,,,,29.771,1.54,1.964,13.513,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.302585092994046,1.3862943611198906,1.6094379124341003,5.298317366548036,0.0625,0.0625,,,,20.0,,,
AlSiC.csv:33,milling,AlSiC,0.5,10,,100.0,3,,none,6.0,,,,,,13.116,1.18,1.49,11.144,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.302585092994046,1.791759469228055,1.0986122886681098,4.605170185988092,0.05,0.05,,,,10.0,,,
AlSiC.csv:34,milling,AlSiC,0.5,10,,200.0,1,,none,8.0,,,,,,4.233,1.172,1.455,9.998,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.302585092994046,2.0794415416798357,0.0,5.298317366548036,0.00625,0.00625,,,,20.0,,,
AlSiC.csv:35,milling,AlSiC,0.5,10,,125.0,5,,none,8.0,,,,,,15.755,1.289,1.614,13.166,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.302585092994046,2.0794415416798357,1.6094379124341003,4.8283137373023015,0.05,0.05,,,,12.5,,,
AlSiC.csv:36,milling,AlSiC,0.5,10,,200.0,3,,none,10.0,,,,,,7.574,1.739,2.142,15.082,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.302585092994046,2.302585092994046,1.0986122886681098,5.298317366548036,0.015,0.015,,,,20.0,,,
AlSiC.csv:37,milling,AlSiC,0.5,20,,175.0,2,,none,2.0,,,,,,46.349,3.948,4.804,29.232,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.995732273553991,0.6931471805599453,0.6931471805599453,5.1647859739235145,0.11428571428571428,0.11428571428571428,,,,8.75,,,
AlSiC.csv:38,milling,AlSiC,0.5,20,,100.0,1,,none,6.0,,,,,,6.598,1.716,2.056,12.11,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.995732273553991,1.791759469228055,0.0,4.605170185988092,0.03333333333333333,0.03333333333333333,,,,5.0,,,
AlSiC.csv:39,milling,AlSiC,0.5,20,,125.0,5,,none,6.0,,,,,,38.906,2.216,3.057,27.741,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.995732273553991,1.791759469228055,1.6094379124341003,4.8283137373023015,0.13333333333333333,0.13333333333333333,,,,6.25,,,
AlSiC.csv:40,milling,AlSiC,0.5,20,,100.0,5,,none,8.0,,,,,,28.215,2.326,3.088,22.514,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.995732273553991,2.0794415416798357,1.6094379124341003,4.605170185988092,0.125,0.125,,,,5.0,,,
AlSiC.csv:41,milling,AlSiC,0.5,20,,175.0,3,,none,10.0,,,,,,10.662,2.197,2.766,20.848,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.995732273553991,2.302585092994046,1.0986122886681098,5.1647859739235145,0.03428571428571429,0.03428571428571429,,,,8.75,,,
AlSiC.csv:42,milling,AlSiC,0.5,20,,200.0,5,,none,10.0,,,,,,19.953,1.956,2.566,18.006,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,2.995732273553991,2.302585092994046,1.6094379124341003,5.298317366548036,0.05,0.05,,,,10.0,,,
