process_type,material,target,model,feature,importance_value,method,importance_rank
milling,ZrO2,Sa_um,RSM,hatch_spacing_um,3.88305741691373,RSM_abs_coefficient,4
milling,ZrO2,Sa_um,RSM,passes,3.4043569050902165,RSM_abs_coefficient,5
milling,ZrO2,Sa_um,RSM,log_frequency,3.3626233453464773,RSM_abs_coefficient,6
milling,ZrO2,Sa_um,RSM,D_proxy,3.246409654264902,RSM_abs_coefficient,7
milling,ZrO2,Sa_um,RSM,pulse_density_proxy,3.246409654264872,RSM_abs_coefficient,8
milling,ZrO2,Sa_um,RSM,scan_speed_mm_s,2.923576977999963,RSM_abs_coefficient,9
milling,ZrO2,Sa_um,RSM,log_passes,2.737858937164813,RSM_abs_coefficient,10
milling,ZrO2,Sa_um,RSM,log_scan_speed,2.7377091589693534,RSM_abs_coefficient,11
milling,ZrO2,Sa_um,RSM,pulse_width_ps,2.57669104870964,RSM_abs_coefficient,12
milling,ZrO2,Sa_um,RSM,pulse_spacing_um,1.8674302893249128,RSM_abs_coefficient,13
milling,AlSiC,depth_um,GPR,pulse_density_proxy,8.030595965987594,permutation_neg_RMSE,1
milling,AlSiC,depth_um,GPR,D_proxy,8.030595965987592,permutation_neg_RMSE,2
milling,AlSiC,depth_um,GPR,frequency_kHz,6.3822079643918315,permutation_neg_RMSE,3
milling,AlSiC,depth_um,GPR,pulse_width_ps,5.979146775819794,permutation_neg_RMSE,4
milling,AlSiC,depth_um,GPR,log_frequency,5.197324512540582,permutation_neg_RMSE,5
milling,AlSiC,depth_um,GPR,log_passes,4.751416070740306,permutation_neg_RMSE,6
milling,AlSiC,depth_um,GPR,passes,4.324482970262458,permutation_neg_RMSE,7
milling,AlSiC,depth_um,GPR,log_pulse_width,4.2143892082698695,permutation_neg_RMSE,8
milling,AlSiC,depth_um,GPR,hatch_spacing_um,4.07970338382249,permutation_neg_RMSE,9
milling,AlSiC,depth_um,GPR,log_hatch_spacing,3.8750351495714086,permutation_neg_RMSE,10
milling,AlSiC,depth_um,GPR,log_scan_speed,3.2447262095343765,permutation_neg_RMSE,11
milling,AlSiC,depth_um,GPR,pulse_spacing_um,3.1404479736518303,permutation_neg_RMSE,12
milling,AlSiC,depth_um,GPR,scan_speed_mm_s,2.999590250542291,permutation_neg_RMSE,13
milling,AlSiC,Sa_um,GPR,frequency_kHz,1.5675485633641781,permutation_neg_RMSE,1
milling,AlSiC,Sa_um,GPR,pulse_width_ps,1.5040702057689177,permutation_neg_RMSE,2
milling,AlSiC,Sa_um,GPR,D_proxy,1.228639440850215,permutation_neg_RMSE,3
milling,AlSiC,Sa_um,GPR,pulse_density_proxy,1.228639440850215,permutation_neg_RMSE,4
milling,AlSiC,Sa_um,GPR,log_frequency,1.1905233115610134,permutation_neg_RMSE,5
milling,AlSiC,Sa_um,GPR,log_hatch_spacing,1.16659293414741,permutation_neg_RMSE,6
milling,AlSiC,Sa_um,GPR,log_scan_speed,1.1554969109236322,permutation_neg_RMSE,7
milling,AlSiC,Sa_um,GPR,log_passes,1.1299628348552306,permutation_neg_RMSE,8
milling,AlSiC,Sa_um,GPR,scan_speed_mm_s,1.1022498634065963,permutation_neg_RMSE,9
milling,AlSiC,Sa_um,GPR,passes,1.0919463189985081,permutation_neg_RMSE,10
milling,AlSiC,Sa_um,GPR,hatch_spacing_um,1.0824369012621906,permutation_neg_RMSE,11
milling,AlSiC,Sa_um,GPR,log_pulse_width,0.9820572113136714,permutation_neg_RMSE,12
milling,AlSiC,Sa_um,GPR,pulse_spacing_um,0.7453415405883169,permutation_neg_RMSE,13
milling,CFRP,depth_um,GPR,log_scan_speed,8.796706556971959,permutation_neg_RMSE,1
milling,CFRP,depth_um,GPR,log_frequency,6.86519173352792,permutation_neg_RMSE,2
milling,CFRP,depth_um,GPR,frequency_kHz,6.323606508737778,permutation_neg_RMSE,3
milling,CFRP,depth_um,GPR,log_passes,2.656886446897982,permutation_neg_RMSE,4
milling,CFRP,depth_um,GPR,pulse_density_proxy,2.5900253424121162,permutation_neg_RMSE,5
milling,CFRP,depth_um,GPR,D_proxy,2.590025342412095,permutation_neg_RMSE,6
milling,CFRP,depth_um,GPR,pulse_width_ps,1.5596485364054267,permutation_neg_RMSE,7
milling,CFRP,depth_um,GPR,scan_speed_mm_s,1.21328573759035,permutation_neg_RMSE,8
milling,CFRP,depth_um,GPR,hatch_spacing_um,1.2025090333119093,permutation_neg_RMSE,9
milling,CFRP,depth_um,GPR,passes,1.052094232079702,permutation_neg_RMSE,10
milling,CFRP,depth_um,GPR,pulse_spacing_um,0.855133789872335,permutation_neg_RMSE,11
milling,CFRP,depth_um,GPR,log_hatch_spacing,0.6654628568566432,permutation_neg_RMSE,12
milling,CFRP,depth_um,GPR,log_pulse_width,0.4060154376875187,permutation_neg_RMSE,13
milling,CFRP,Sa_um,GPR,frequency_kHz,0.2325610906337979,permutation_neg_RMSE,1
milling,CFRP,Sa_um,GPR,log_frequency,0.16835285057127894,permutation_neg_RMSE,2
milling,CFRP,Sa_um,GPR,hatch_spacing_um,0.14539167879598586,permutation_neg_RMSE,3
milling,CFRP,Sa_um,GPR,pulse_width_ps,0.1434084035319671,permutation_neg_RMSE,4
milling,CFRP,Sa_um,GPR,log_pulse_width,0.14295066336226364,permutation_neg_RMSE,5
milling,CFRP,Sa_um,GPR,log_hatch_spacing,0.1412208044353039,permutation_neg_RMSE,6
milling,CFRP,Sa_um,GPR,log_scan_speed,0.13385813493930168,permutation_neg_RMSE,7
milling,CFRP,Sa_um,GPR,scan_speed_mm_s,0.13367662560442084,permutation_neg_RMSE,8
milling,CFRP,Sa_um,GPR,pulse_spacing_um,0.12480044435303635,permutation_neg_RMSE,9
milling,CFRP,Sa_um,GPR,passes,0.1236157517402684,permutation_neg_RMSE,10
milling,CFRP,Sa_um,GPR,log_passes,0.1095011908004347,permutation_neg_RMSE,11
milling,CFRP,Sa_um,GPR,D_proxy,0.07868684395343631,permutation_neg_RMSE,12
milling,CFRP,Sa_um,GPR,pulse_density_proxy,0.0786868439534363,permutation_neg_RMSE,13
milling,Diamond,depth_um,XGBoost,D_proxy,28.90584408368041,permutation_neg_RMSE,1
milling,Diamond,depth_um,XGBoost,passes,7.223358172804521,permutation_neg_RMSE,2
milling,Diamond,depth_um,XGBoost,pulse_width_ps,2.921650359050598,permutation_neg_RMSE,3
milling,Diamond,depth_um,XGBoost,pulse_density_proxy,2.777826276987757,permutation_neg_RMSE,4
milling,Diamond,depth_um,XGBoost,hatch_spacing_um,2.7653390699163065,permutation_neg_RMSE,5
milling,Diamond,depth_um,XGBoost,log_passes,1.2478870557874537,permutation_neg_RMSE,6
milling,Diamond,depth_um,XGBoost,scan_speed_mm_s,0.6759038896087426,permutation_neg_RMSE,7
milling,Diamond,depth_um,XGBoost,pulse_spacing_um,0.6284480832490769,permutation_neg_RMSE,8
milling,Diamond,depth_um,XGBoost,log_hatch_spacing,0.3814039542657611,permutation_neg_RMSE,9
milling,Diamond,depth_um,XGBoost,log_pulse_width,0.3004752802418615,permutation_neg_RMSE,10
milling,Diamond,depth_um,XGBoost,frequency_kHz,0.07101084493785279,permutation_neg_RMSE,11
milling,Diamond,depth_um,XGBoost,log_scan_speed,0.036114954643277505,permutation_neg_RMSE,12
milling,Diamond,depth_um,XGBoost,log_frequency,0.0011235196732257147,permutation_neg_RMSE,13
milling,Diamond,Sa_um,XGBoost,D_proxy,0.3547267555409539,permutation_neg_RMSE,1
milling,Diamond,Sa_um,XGBoost,pulse_spacing_um,0.09321767776659758,permutation_neg_RMSE,2
milling,Diamond,Sa_um,XGBoost,scan_speed_mm_s,0.07686692340675236,permutation_neg_RMSE,3
milling,Diamond,Sa_um,XGBoost,frequency_kHz,0.07356832271035155,permutation_neg_RMSE,4
milling,Diamond,Sa_um,XGBoost,pulse_width_ps,0.0689564478519052,permutation_neg_RMSE,5
milling,Diamond,Sa_um,XGBoost,hatch_spacing_um,0.04636249229679646,permutation_neg_RMSE,6
milling,Diamond,Sa_um,XGBoost,passes,0.032625017728341275,permutation_neg_RMSE,7
milling,Diamond,Sa_um,XGBoost,pulse_density_proxy,0.025765859705821837,permutation_neg_RMSE,8
milling,Diamond,Sa_um,XGBoost,log_frequency,0.011023584064044656,permutation_neg_RMSE,9
milling,Diamond,Sa_um,XGBoost,log_scan_speed,0.00844973988873209,permutation_neg_RMSE,10
milling,Diamond,Sa_um,XGBoost,log_passes,0.004016674480930706,permutation_neg_RMSE,11
milling,Diamond,Sa_um,XGBoost,log_hatch_spacing,0.0032816765586795088,permutation_neg_RMSE,12
milling,Diamond,Sa_um,XGBoost,log_pulse_width,0.003269872491603167,permutation_neg_RMSE,13
milling,SiC,depth_um,GPR,D_proxy,20.338554857961928,permutation_neg_RMSE,1
milling,SiC,depth_um,GPR,pulse_density_proxy,20.338554857961928,permutation_neg_RMSE,2
milling,SiC,depth_um,GPR,pulse_spacing_um,19.789557430282205,permutation_neg_RMSE,3
milling,SiC,depth_um,GPR,scan_speed_mm_s,18.59670540698862,permutation_neg_RMSE,4
milling,SiC,depth_um,GPR,log_scan_speed,18.59670540698862,permutation_neg_RMSE,5
milling,SiC,depth_um,GPR,pulse_width_ps,18.52696478186197,permutation_neg_RMSE,6
milling,SiC,depth_um,GPR,log_pulse_width,18.52696478186197,permutation_neg_RMSE,7
milling,SiC,depth_um,GPR,frequency_kHz,18.524045102710186,permutation_neg_RMSE,8
milling,SiC,depth_um,GPR,log_frequency,18.524045102710186,permutation_neg_RMSE,9
milling,SiC,depth_um,GPR,hatch_spacing_um,18.414909541160256,permutation_neg_RMSE,10
milling,SiC,depth_um,GPR,log_hatch_spacing,18.414909541160256,permutation_neg_RMSE,11
milling,SiC,depth_um,GPR,passes,18.316939699427266,permutation_neg_RMSE,12
milling,SiC,depth_um,GPR,log_passes,18.316939699427266,permutation_neg_RMSE,13
milling,SiC,Sa_um,GPR,D_proxy,2.2421467725147073,permutation_neg_RMSE,1
milling,SiC,Sa_um,GPR,pulse_density_proxy,2.2421467725147073,permutation_neg_RMSE,2
milling,SiC,Sa_um,GPR,pulse_spacing_um,2.1956024279819935,permutation_neg_RMSE,3
milling,SiC,Sa_um,GPR,pulse_width_ps,2.05542969099963,permutation_neg_RMSE,4
milling,SiC,Sa_um,GPR,log_pulse_width,2.05542969099963,permutation_neg_RMSE,5
milling,SiC,Sa_um,GPR,hatch_spacing_um,2.0493922488026897,permutation_neg_RMSE,6
milling,SiC,Sa_um,GPR,log_hatch_spacing,2.0493922488026897,permutation_neg_RMSE,7
milling,SiC,Sa_um,GPR,scan_speed_mm_s,2.0474372305739057,permutation_neg_RMSE,8
milling,SiC,Sa_um,GPR,log_scan_speed,2.0474372305739057,permutation_neg_RMSE,9
milling,SiC,Sa_um,GPR,passes,2.0337115633253173,permutation_neg_RMSE,10
milling,SiC,Sa_um,GPR,log_passes,2.0337115633253173,permutation_neg_RMSE,11
milling,SiC,Sa_um,GPR,frequency_kHz,2.022210916590965,permutation_neg_RMSE,12
milling,SiC,Sa_um,GPR,log_frequency,2.022210916590965,permutation_neg_RMSE,13
milling,ZrO2,depth_um,GPR,log_frequency,12.653514543853793,permutation_neg_RMSE,1
milling,ZrO2,depth_um,GPR,log_passes,12.196600593077505,permutation_neg_RMSE,2
milling,ZrO2,depth_um,GPR,pulse_spacing_um,4.606420220478701,permutation_neg_RMSE,3
milling,ZrO2,depth_um,GPR,log_hatch_spacing,3.3980938160017735,permutation_neg_RMSE,4
milling,ZrO2,depth_um,GPR,hatch_spacing_um,3.1588489318514847,permutation_neg_RMSE,5
milling,ZrO2,depth_um,GPR,passes,3.1196799804947104,permutation_neg_RMSE,6
milling,ZrO2,depth_um,GPR,pulse_width_ps,2.8476891901263395,permutation_neg_RMSE,7
milling,ZrO2,depth_um,GPR,log_pulse_width,2.818562186310367,permutation_neg_RMSE,8
milling,ZrO2,depth_um,GPR,frequency_kHz,2.326047529622581,permutation_neg_RMSE,9
milling,ZrO2,depth_um,GPR,pulse_density_proxy,1.6745488402353885,permutation_neg_RMSE,10
milling,ZrO2,depth_um,GPR,D_proxy,1.674548840235381,permutation_neg_RMSE,11
milling,ZrO2,depth_um,GPR,log_scan_speed,1.378369698735063,permutation_neg_RMSE,12
milling,ZrO2,depth_um,GPR,scan_speed_mm_s,0.9552603291312055,permutation_neg_RMSE,13
milling,ZrO2,Sa_um,RandomForest,D_proxy,0.2449813799428206,permutation_neg_RMSE,1
milling,ZrO2,Sa_um,RandomForest,pulse_density_proxy,0.2249945715640334,permutation_neg_RMSE,2
milling,ZrO2,Sa_um,RandomForest,pulse_spacing_um,0.1963655641372757,permutation_neg_RMSE,3
milling,ZrO2,Sa_um,RandomForest,log_pulse_width,0.18319853067240316,permutation_neg_RMSE,4
milling,ZrO2,Sa_um,RandomForest,pulse_width_ps,0.15531475039223616,permutation_neg_RMSE,5
milling,ZrO2,Sa_um,RandomForest,log_passes,0.08553658236508613,permutation_neg_RMSE,6
milling,ZrO2,Sa_um,RandomForest,passes,0.08058523626504807,permutation_neg_RMSE,7
milling,ZrO2,Sa_um,RandomForest,log_hatch_spacing,0.04369068459146157,permutation_neg_RMSE,8
milling,ZrO2,Sa_um,RandomForest,hatch_spacing_um,0.04114631468556023,permutation_neg_RMSE,9
milling,ZrO2,Sa_um,RandomForest,frequency_kHz,0.040979796445382285,permutation_neg_RMSE,10
milling,ZrO2,Sa_um,RandomForest,log_frequency,0.03382542677333998,permutation_neg_RMSE,11
milling,ZrO2,Sa_um,RandomForest,log_scan_speed,0.031596256969749506,permutation_neg_RMSE,12
milling,ZrO2,Sa_um,RandomForest,scan_speed_mm_s,0.023374009550282692,permutation_neg_RMSE,13
